village_name,problem_type,severity,affected_families,ngo_1_name,ngo_1_work
Varanasi,"Malaria, Dengue, Tuberculosis",Low,64219,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis",High,47646,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,42548,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",Low,37177,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,17715,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Madurai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,60110,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,38922,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,15689,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,35127,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,37545,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Nagpur,"Malaria, Dengue, Tuberculosis",Medium,48190,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Surat,"Malaria, Dengue, Tuberculosis",High,39048,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis",High,52351,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,73592,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,56534,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Lucknow,"Malaria, Dengue, Tuberculosis",High,27428,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,65485,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,47988,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Nagpur,"Malaria, Dengue, Tuberculosis",Medium,51953,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,62910,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Chennai,"Malaria, Dengue, Tuberculosis",Low,31609,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,39016,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Vadodara,"Malaria, Dengue, Low Antenatal Care",High,57241,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,42900,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,45849,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,23746,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",Medium,39970,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,25030,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,39582,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Surat,"Malaria, Dengue, Tuberculosis",Medium,67241,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Madurai,"Malaria, Dengue, Tuberculosis",Low,57840,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,66213,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Chennai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,30088,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,45396,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,61802,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis",Medium,50725,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Chennai,"Malaria, Dengue, Tuberculosis",Low,25890,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,56587,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",High,27440,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis",Medium,28307,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,61330,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,48869,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Madurai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,43962,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,61750,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,46965,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,50939,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Madurai,"Malaria, Dengue, Tuberculosis",High,43906,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,17434,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",High,51152,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,13199,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Surat,"Malaria, Dengue, Tuberculosis",Low,32524,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis",Low,60110,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Agra,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,31016,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Chennai,"Malaria, Dengue, Tuberculosis",Low,65991,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",Low,66018,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",High,44189,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,16054,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",High,36164,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",High,68797,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis",High,54156,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Surat,"Malaria, Dengue, Tuberculosis",Medium,34614,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Surat,"Malaria, Dengue, Tuberculosis",High,54210,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis",High,21605,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,53112,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,66368,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,72534,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Hubli,"Malaria, Dengue, Tuberculosis",High,33269,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Nagpur,"Malaria, Dengue, Tuberculosis",High,51294,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,63561,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,39265,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,34615,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis",High,32728,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mumbai,"Malaria, Dengue, Tuberculosis",Low,47761,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,44041,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,20148,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,64852,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,18725,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Surat,"Malaria, Dengue, Tuberculosis",Low,19485,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",High,45318,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,62509,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,14758,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis",High,73197,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,40861,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",Medium,71837,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",Low,18495,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,74822,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,15673,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",High,28157,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,13030,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mysuru,"Malaria, Dengue, Tuberculosis",High,72458,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,60508,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis",High,26989,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,27452,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Nagpur,"Malaria, Dengue, Tuberculosis",High,22905,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis",High,37301,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,14308,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Lucknow,"Malaria, Dengue, Tuberculosis",High,62514,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis",Medium,71770,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Surat,"Malaria, Dengue, Tuberculosis",Medium,25805,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Nagpur,"Malaria, Dengue, Tuberculosis",High,62776,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Nagpur,"Malaria, Dengue, Tuberculosis",High,14866,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Surat,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,64746,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",Low,34157,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,34877,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,24780,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Chennai,"Malaria, Dengue, Tuberculosis",Medium,28669,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,52879,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Lucknow,"Malaria, Dengue, Tuberculosis",High,62333,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Tuberculosis",Low,38989,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Chennai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,59246,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Agra,"Malaria, Dengue, Tuberculosis",Low,57366,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,65265,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,35472,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Lucknow,"Malaria, Dengue, Tuberculosis",High,18366,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Pune,"Malaria, Dengue, Tuberculosis",Medium,61553,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Vadodara,"Malaria, Dengue, Tuberculosis",High,48568,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Madurai,"Malaria, Dengue, Tuberculosis",Low,42167,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,53437,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,40448,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis",Low,14088,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,64213,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",High,49138,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,56543,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,66913,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis",Low,39925,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Surat,"Malaria, Dengue, Tuberculosis",Low,71476,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,62926,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis",Medium,15738,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue",Medium,50093,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",High,74545,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,35231,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Nagpur,"Malaria, Dengue, Tuberculosis",Low,45357,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis",High,48077,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Pune,"Malaria, Dengue, Tuberculosis",Medium,32213,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,67438,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,41116,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Nagpur,"Malaria, Dengue, Tuberculosis",High,30719,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Agra,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,45184,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",High,48608,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,14534,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Surat,"Malaria, Dengue, Tuberculosis",Medium,68874,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,64327,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Hubli,"Malaria, Dengue, Tuberculosis",Low,16151,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,59562,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,58525,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Agra,"Malaria, Dengue, Tuberculosis",Low,58871,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,69450,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,35765,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Chennai,"Malaria, Dengue, Tuberculosis",Low,52582,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,46463,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis",Low,45362,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,44402,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",High,66131,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,69675,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,49177,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Nagpur,"Malaria, Dengue, Tuberculosis",Low,41223,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,62083,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,14614,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,70030,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis",High,42877,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Low,19622,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Chennai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,47039,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,63596,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,13044,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
