village_name,problem_type,severity,affected_families,ngo_name,ngo_work,state,district,year,month,population,malaria_cases,dengue_cases,tb_cases
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden,Medium,171,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Nagpur,2016,Mar,83165,412,143,217
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases,Medium,169,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Varanasi,2016,Sep,55165,447,312,4
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,168,NFHS,National Family Health Survey — demographic and health indicators research,Uttar Pradesh,Lucknow,2017,Sep,427980,307,319,130
"Patna, Bihar",Malaria Cases; Dengue Cases; High TB Burden,Low,108,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Patna,2017,Mar,160284,102,119,269
"Ahmedabad, Gujarat",Malaria Cases; Dengue Cases; TB Cases,Low,26,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Ahmedabad,2016,Aug,128804,63,45,12
"Surat, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,87,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Surat,2017,Sep,392241,57,316,22
"Nagpur, Maharashtra",Malaria Cases; Dengue Outbreak; High TB Burden,High,104,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Maharashtra,Nagpur,2017,Mar,491155,35,220,217
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,201,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Lucknow,2016,Feb,245706,491,245,170
"Mysuru, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases,Low,105,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Mysuru,2016,Jun,251763,91,331,52
"Hubli, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases,Medium,112,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Hubli,2016,Jun,284303,188,258,61
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,216,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Surat,2016,Apr,221298,469,322,185
"Surat, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden,High,152,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Surat,2017,Jun,86167,462,21,201
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,196,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Ahmedabad,2017,Mar,480168,457,217,211
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,198,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Lucknow,2017,Sep,374335,436,270,185
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,High,190,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",West Bengal,Siliguri,2017,Sep,100281,363,380,112
"Hubli, Karnataka",Malaria Cases; Dengue Cases; High TB Burden; Low Institutional Deliveries,Low,92,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Hubli,2017,Jan,381904,72,61,282
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; TB Cases,Low,104,HMIS,Government health data collection and reporting (Health Management Information System),Bihar,Muzaffarpur,2016,May,263986,179,218,75
"Coimbatore, Tamil Nadu",Malaria Cases; Dengue Outbreak; High TB Burden,Low,148,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Tamil Nadu,Coimbatore,2017,Jun,188770,29,346,293
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,183,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Surat,2016,May,205024,280,252,292
"Coimbatore, Tamil Nadu",Malaria Cases; Dengue Outbreak; High TB Burden,High,152,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Tamil Nadu,Coimbatore,2016,Jan,94066,63,350,274
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,209,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Surat,2016,Sep,137786,463,252,229
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low Institutional Deliveries,Medium,130,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Varanasi,2016,Sep,285365,490,92,4
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,High,179,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2016,Jul,290296,434,142,233
"Vadodara, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,171,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Vadodara,2016,Aug,497000,465,114,191
"Pune, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden,Low,116,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Pune,2016,Jul,255891,124,185,214
"Mysuru, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,206,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Mysuru,2017,Sep,364019,349,341,241
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases,Low,142,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Lucknow,2017,Sep,118529,397,113,132
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,93,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Howrah,2017,Feb,372048,225,87,110
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,132,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Agra,2017,Sep,173817,216,364,18
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,180,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Surat,2017,May,338035,418,231,161
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Medium,120,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Tamil Nadu,Chennai,2017,Sep,496201,295,240,9
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low ANC Registrations,Low,221,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Muzaffarpur,2017,May,259658,406,388,202
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,High,139,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Ahmedabad,2017,Mar,497478,202,148,279
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,92,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Bengaluru,2016,Jun,371142,81,336,1
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,116,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Lucknow,2017,Jul,474042,205,108,211
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; TB Cases,Low,92,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Muzaffarpur,2017,Mar,83029,33,376,7
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,Medium,36,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Bengaluru,2016,Jan,450006,118,5,43
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,231,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Karnataka,Hubli,2017,Feb,155350,395,359,288
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,67,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Mysuru,2016,May,211630,36,111,156
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Medium,133,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2016,Apr,149558,187,328,86
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases,Low,111,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Bengaluru,2017,Sep,418645,199,280,24
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,107,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Chennai,2016,Sep,446430,326,112,46
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden,Low,153,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Agra,2016,Feb,461166,494,7,188
"Vadodara, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,188,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Vadodara,2016,Mar,284979,258,379,211
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,183,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Ahmedabad,2017,Jul,164519,370,282,174
"Surat, Gujarat",Malaria Outbreak; Dengue Cases,High,97,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Surat,2017,Feb,93251,294,146,0
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden,Low,145,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Agra,2016,Feb,420789,424,46,184
"Mysuru, Karnataka",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,159,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Mysuru,2016,Feb,299226,167,386,165
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,142,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2016,Sep,412489,194,172,277
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations; Low Institutional Deliveries,Medium,79,NFHS,National Family Health Survey — demographic and health indicators research,Gujarat,Vadodara,2017,Apr,447537,53,294,9
"Howrah, West Bengal",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,92,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",West Bengal,Howrah,2017,May,315441,99,305,10
"Hubli, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases,Medium,110,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Hubli,2017,Apr,200850,374,2,121
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,150,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Ahmedabad,2017,Apr,162537,332,216,127
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,245,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Hubli,2016,Mar,127655,463,381,259
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden,High,163,NFHS,National Family Health Survey — demographic and health indicators research,Gujarat,Vadodara,2017,May,118283,192,274,269
"Hubli, Karnataka",Malaria Cases; Dengue Cases; High TB Burden,High,95,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Hubli,2016,Aug,66694,13,193,225
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,205,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Chennai,2016,Mar,388818,343,318,264
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage; Low ANC Registrations,Medium,76,HMIS,Government health data collection and reporting (Health Management Information System),Bihar,Gaya,2017,Apr,306328,203,105,36
"Pune, Maharashtra",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,Low,73,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Pune,2017,Sep,87616,171,50,110
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases,Low,150,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Tamil Nadu,Madurai,2017,Jul,328951,428,104,147
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,Medium,99,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Mysuru,2016,Feb,226136,172,198,79
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden,High,71,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Lucknow,2016,Jun,377957,52,78,193
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,Low,109,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Bengaluru,2017,Jan,495344,56,236,199
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; High TB Burden,High,93,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2016,Aug,457259,41,87,291
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,172,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Madurai,2017,Jul,416628,369,254,154
"Surat, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low ANC Registrations,Medium,168,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Surat,2016,Apr,396569,410,135,214
"Hubli, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases,Medium,77,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Hubli,2016,Jun,50245,223,68,56
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden,High,123,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Karnataka,Bengaluru,2016,Sep,280690,195,157,205
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,138,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Karnataka,Bengaluru,2017,Aug,267034,227,343,52
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,High,159,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Ahmedabad,2016,Mar,324873,468,79,169
"Patna, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,210,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Patna,2017,Feb,254657,444,344,159
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases,High,98,NFHS,National Family Health Survey — demographic and health indicators research,Tamil Nadu,Madurai,2016,Jun,72689,301,87,54
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden,High,116,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",West Bengal,Siliguri,2016,Apr,163134,241,3,278
"Mumbai, Maharashtra",Malaria Cases; Dengue Outbreak; High TB Burden; Low ANC Registrations,Medium,156,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Mumbai,2016,Jul,271002,124,318,261
"Chennai, Tamil Nadu",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,171,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2016,Jul,407474,126,373,274
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,Medium,43,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Bengaluru,2017,May,203513,24,44,129
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases,Medium,122,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Bengaluru,2016,Jan,296248,319,229,2
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden,Low,124,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Pune,2017,Jan,197558,256,149,154
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations,Medium,118,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Vadodara,2016,Jun,385796,133,298,100
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,174,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Madurai,2017,Jan,473881,468,88,227
"Vadodara, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,157,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Vadodara,2017,Sep,239578,320,93,296
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,Medium,105,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Siliguri,2017,May,351468,243,131,101
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden,Low,189,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Agra,2016,May,106266,263,389,199
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,118,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Lucknow,2016,Feb,148822,220,272,39
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Low,213,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Lucknow,2017,Mar,262651,287,394,278
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases,Medium,128,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Vadodara,2016,Sep,234876,163,301,113
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases,Medium,130,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Pune,2017,Jul,71293,415,78,93
"Kolkata, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden,High,189,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Kolkata,2017,Jul,321491,445,157,252
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,High,228,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Surat,2016,Jun,454255,449,354,225
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases,Medium,142,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Bihar,Gaya,2016,Jun,225032,491,61,90
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,183,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Lucknow,2016,Feb,432246,358,200,269
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,176,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",West Bengal,Siliguri,2016,Jan,226234,330,277,187
"Kolkata, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden,Low,223,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Kolkata,2016,May,358261,330,391,283
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Low,116,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",West Bengal,Kolkata,2016,Feb,252192,55,209,259
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage,Low,43,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Mysuru,2017,May,217221,99,13,84
"Vadodara, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,70,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Vadodara,2016,Mar,386947,41,38,238
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; TB Cases,High,116,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Ahmedabad,2017,Sep,408458,265,247,11
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low ANC Registrations; Low Institutional Deliveries,Low,103,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Agra,2016,Apr,277891,237,128,101
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,184,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2016,Mar,247933,439,225,165
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,136,NFHS,National Family Health Survey — demographic and health indicators research,Tamil Nadu,Madurai,2016,Aug,124001,332,242,39
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage,Low,48,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Tamil Nadu,Chennai,2017,Apr,184549,111,24,84
"Pune, Maharashtra",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,42,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Pune,2016,Jan,489282,75,32,86
"Chennai, Tamil Nadu",Malaria Cases; Dengue Outbreak; High TB Burden,Low,139,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2017,Aug,213896,101,256,271
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,147,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Bengaluru,2017,Apr,386058,291,88,285
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,100,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Bengaluru,2016,Jul,456952,63,363,25
"Muzaffarpur, Bihar",Malaria Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,42,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Muzaffarpur,2016,Sep,271654,174,0,17
"Patna, Bihar",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,31,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Patna,2017,May,73155,82,11,48
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,Low,186,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Varanasi,2017,Feb,267191,412,227,199
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,129,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Agra,2016,Sep,233828,280,207,96
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,161,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Maharashtra,Nagpur,2016,Jan,487778,327,350,48
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,124,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Muzaffarpur,2017,Aug,422996,179,295,87
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Institutional Deliveries,Medium,116,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Bengaluru,2016,Sep,51673,270,123,133
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,160,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Hubli,2016,Jul,452160,270,350,100
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,154,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Chennai,2016,Mar,350586,376,263,56
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden,High,131,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Muzaffarpur,2017,Jul,177439,7,320,265
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,108,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Howrah,2016,Jul,335241,349,60,79
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,127,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Bengaluru,2017,Jul,352912,116,209,247
"Mumbai, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,High,86,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Maharashtra,Mumbai,2016,Jun,286216,175,35,177
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,Medium,141,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Siliguri,2016,May,81424,396,121,119
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,217,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Tamil Nadu,Madurai,2016,Jul,259783,466,231,281
"Surat, Gujarat",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,Low,53,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Surat,2017,May,140568,109,44,86
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,190,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Hubli,2016,Aug,319948,308,288,263
"Vadodara, Gujarat",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,92,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Vadodara,2016,Apr,362022,205,163,49
"Nagpur, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden; Low ANC Registrations,Low,81,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Nagpur,2017,Aug,123513,159,40,166
